Year,GeographyType,Geography,Sector,ActivityMeasure,Value,Unit,SourceGroup,SourceWorkbook,SourceSheet
2021,Administrative Region,Al Baha,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,7902,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Al Jouf,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,7890,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Asir,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,33577,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Eastern Region,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,52092,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Hail,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,12271,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Jazan,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,16447,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Madinah,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,35443,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Makkah,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,130593,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Najran,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,6490,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Northern Borders,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,5338,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Qassim,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,23188,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Riyadh,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,113204,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Tabuk,Saudi Red Crescent Authority,Cases offered first aid / transported to hospitals,14014,Cases,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,National,Saudi Arabia,All Sectors,Admissions per 100 persons,9.1,Admissions per 100 persons,FY-023,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,26
2021,National,Saudi Arabia,All Sectors,Encounters per person per year,4.3,Encounters per person,FY-020,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,12
2021,National,Saudi Arabia,Ministry of Health,Encounters,61953060,Encounters,FY-020,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,12
2021,National,Saudi Arabia,Ministry of Health,Inpatients / Admissions,1376787,Admissions,FY-023,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,26
2021,National,Saudi Arabia,Other Governmental Sector,Encounters,21530715,Encounters,FY-020,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,12
2021,National,Saudi Arabia,Other Governmental Sector,Inpatients / Admissions,620735,Admissions,FY-023,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,26
2021,National,Saudi Arabia,Private Sector,Encounters,63144222.222,Encounters,FY-020,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,12
2021,National,Saudi Arabia,Private Sector,Inpatients / Admissions,1103230,Admissions,FY-023,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,26
