Year,GeographyType,Geography,Sector,CapacityMeasure,Value,Unit,SourceGroup,SourceWorkbook,SourceSheet
2021,Administrative Region,Al Baha,Saudi Red Crescent Authority,Ambulances,43,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Al Baha,Saudi Red Crescent Authority,First Aid Centers,16,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Al Jouf,Saudi Red Crescent Authority,Ambulances,40,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Al Jouf,Saudi Red Crescent Authority,First Aid Centers,14,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Asir,Saudi Red Crescent Authority,Ambulances,122,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Asir,Saudi Red Crescent Authority,First Aid Centers,41,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Eastern Region,Saudi Red Crescent Authority,Ambulances,194,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Eastern Region,Saudi Red Crescent Authority,First Aid Centers,67,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Hail,Saudi Red Crescent Authority,Ambulances,54,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Hail,Saudi Red Crescent Authority,First Aid Centers,16,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Jazan,Saudi Red Crescent Authority,Ambulances,58,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Jazan,Saudi Red Crescent Authority,First Aid Centers,23,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Madinah,Saudi Red Crescent Authority,Ambulances,66,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Madinah,Saudi Red Crescent Authority,First Aid Centers,37,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Makkah,Saudi Red Crescent Authority,Ambulances,280,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Makkah,Saudi Red Crescent Authority,First Aid Centers,98,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Najran,Saudi Red Crescent Authority,Ambulances,55,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Najran,Saudi Red Crescent Authority,First Aid Centers,15,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Northern Borders,Saudi Red Crescent Authority,Ambulances,45,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Northern Borders,Saudi Red Crescent Authority,First Aid Centers,14,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Qassim,Saudi Red Crescent Authority,Ambulances,89,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Qassim,Saudi Red Crescent Authority,First Aid Centers,29,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
2021,Administrative Region,Riyadh,Saudi Red Crescent Authority,Ambulances,286,Count,FY-018,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,7
