Year,GeographyType,Geography,Scope,WorkforceType,Nationality,WorkforceCount,Unit,SourceGroup,SourceWorkbook,SourceSheet
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Allied Health Personnel,Non-Saudi,72,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Allied Health Personnel,Saudi,11321,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Dentists,Non-Saudi,13,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Dentists,Saudi,2510,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Midwives,Non-Saudi,25,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Midwives,Saudi,234,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Nurses,Non-Saudi,2332,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Nurses,Saudi,15643,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Pharmacists,Non-Saudi,0,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Pharmacists,Saudi,415,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Physicians,Non-Saudi,5327,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Primary Health Care Centers,Physicians,Saudi,3100,Persons,FY-010,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21
2021,National,Saudi Arabia,MOH Total,Allied Health Personnel,Non-Saudi,2748,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2021,National,Saudi Arabia,MOH Total,Allied Health Personnel,Saudi,70937,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2021,National,Saudi Arabia,MOH Total,Dentists,Non-Saudi,590,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2021,National,Saudi Arabia,MOH Total,Dentists,Saudi,6220,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2021,National,Saudi Arabia,MOH Total,Midwives,Non-Saudi,533,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2021,National,Saudi Arabia,MOH Total,Midwives,Saudi,1128,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2021,National,Saudi Arabia,MOH Total,Nurses,Non-Saudi,39282,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2021,National,Saudi Arabia,MOH Total,Nurses,Saudi,67061,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2021,National,Saudi Arabia,MOH Total,Pharmacists,Saudi,4266,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2021,National,Saudi Arabia,MOH Total,Physicians,Non-Saudi,29735,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2021,National,Saudi Arabia,MOH Total,Physicians,Saudi,23585,Persons,FY-008,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 
2022,National,Saudi Arabia,MOH Primary Health Care Centers,Allied Health Personnel,Non-Saudi,50,Persons,FY-010,2022-Chapter-II-Health-Resources.xlsx,2.21
2022,National,Saudi Arabia,MOH Primary Health Care Centers,Allied Health Personnel,Saudi,14001,Persons,FY-010,2022-Chapter-II-Health-Resources.xlsx,2.21
2022,National,Saudi Arabia,MOH Primary Health Care Centers,Dentists,Non-Saudi,12,Persons,FY-010,2022-Chapter-II-Health-Resources.xlsx,2.21
2022,National,Saudi Arabia,MOH Primary Health Care Centers,Dentists,Saudi,2723,Persons,FY-010,2022-Chapter-II-Health-Resources.xlsx,2.21
2022,National,Saudi Arabia,MOH Primary Health Care Centers,Midwives,Non-Saudi,18,Persons,FY-010,2022-Chapter-II-Health-Resources.xlsx,2.21
2022,National,Saudi Arabia,MOH Primary Health Care Centers,Midwives,Saudi,219,Persons,FY-010,2022-Chapter-II-Health-Resources.xlsx,2.21
2022,National,Saudi Arabia,MOH Primary Health Care Centers,Nurses,Non-Saudi,2184,Persons,FY-010,2022-Chapter-II-Health-Resources.xlsx,2.21
2022,National,Saudi Arabia,MOH Primary Health Care Centers,Nurses,Saudi,18266,Persons,FY-010,2022-Chapter-II-Health-Resources.xlsx,2.21
2022,National,Saudi Arabia,MOH Primary Health Care Centers,Pharmacists,Non-Saudi,1,Persons,FY-010,2022-Chapter-II-Health-Resources.xlsx,2.21
2022,National,Saudi Arabia,MOH Primary Health Care Centers,Pharmacists,Saudi,445,Persons,FY-010,2022-Chapter-II-Health-Resources.xlsx,2.21
