Year,GeographyType,Geography,Sector,WorkforceType,WorkforceCount,SaudiPercent,Unit,SourceGroup,SourceWorkbook,SourceSheet
2021,National,Saudi Arabia,Ministry of Health,Allied Health Personnel,73685,96.3,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Ministry of Health,Dentists,6810,91.3,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Ministry of Health,Midwives,1661,67.9,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Ministry of Health,Nurses,106343,63.1,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Ministry of Health,Pharmacists,4397,97,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Ministry of Health,Physicians,53320,44.2,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Other Governmental Sector,Allied Health Personnel,26619,78.8,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Other Governmental Sector,Dentists,1998,84,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Other Governmental Sector,Midwives,600,21.2,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Other Governmental Sector,Nurses,42463,33.3,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Other Governmental Sector,Pharmacists,2914,81.5,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
2021,National,Saudi Arabia,Other Governmental Sector,Physicians,18130,53.6,Persons,FY-006,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4
