Year,WorkforceType,WorkforceCount
2021,Allied Health Personnel,131003.0
2021,Dentists,22739.0
2021,Midwives,4694.0
2021,Nurses,196795.0
2021,Pharmacists,30840.0
2021,Physicians,99617.0
2022,Allied Health Personnel,138362.0
2022,Dentists,23897.0
2022,Midwives,4671.0
2022,Nurses,195887.0
2022,Pharmacists,34040.0
2022,Physicians,105332.0
2023,Allied Health Personnel,153688.0
2023,Dentists,25970.0
2023,Midwives,4997.0
2023,Nurses,213110.0
2023,Pharmacists,36810.0
2023,Physicians,113300.0
2024,Allied Health Personnel,222060.0
2024,Dentists,33751.0
2024,Midwives,6139.0
2024,Nurses,243336.0
2024,Pharmacists,46856.0
2024,Physicians,129772.0
