Year,Geography,Cases,FirstAidCenters,Ambulances,CasesPerCenter,CasesPerAmbulance
2021,Al Baha,7902.0,16.0,43.0,493.875,183.7674418604651
2021,Al Jouf,7890.0,14.0,40.0,563.5714285714286,197.25
2021,Asir,33577.0,41.0,122.0,818.9512195121952,275.22131147540983
2021,Eastern Region,52092.0,67.0,194.0,777.4925373134329,268.5154639175258
2021,Hail,12271.0,16.0,54.0,766.9375,227.24074074074073
2021,Jazan,16447.0,23.0,58.0,715.0869565217391,283.5689655172414
2021,Madinah,35443.0,37.0,66.0,957.918918918919,537.0151515151515
2021,Makkah,130593.0,98.0,280.0,1332.5816326530612,466.4035714285714
2021,Najran,6490.0,15.0,55.0,432.6666666666667,118.0
2021,Northern Borders,5338.0,14.0,45.0,381.2857142857143,118.62222222222222
2021,Qassim,23188.0,29.0,89.0,799.5862068965517,260.53932584269666
2021,Riyadh,113204.0,112.0,286.0,1010.75,395.8181818181818
2021,Tabuk,14014.0,26.0,72.0,539.0,194.63888888888889
2022,Al Baha,7921.0,16.0,43.0,495.0625,184.2093023255814
2022,Al Jouf,8029.0,14.0,47.0,573.5,170.82978723404256
2022,Asir,32242.0,41.0,126.0,786.390243902439,255.88888888888889
2022,Eastern Region,63833.0,66.0,200.0,967.1666666666666,319.165
2022,Hail,12638.0,16.0,56.0,789.875,225.67857142857142
2022,Jazan,16704.0,24.0,64.0,696.0,261.0
2022,Madinah,48787.0,39.0,106.0,1250.948717948718,460.25471698113205
2022,Makkah,160658.0,98.0,283.0,1639.3673469387754,567.696113074205
2022,Najran,6924.0,15.0,59.0,461.6,117.35593220338983
2022,Northern Borders,5584.0,14.0,46.0,398.85714285714283,121.3913043478261
2022,Qassim,26199.0,29.0,94.0,903.4137931034483,278.71276595744683
2022,Riyadh,128710.0,111.0,304.0,1159.5495495495495,423.3881578947368
2022,Tabuk,16683.0,26.0,79.0,641.6538461538462,211.1772151898734
2023,Al Baha,8061.0,16.0,34.0,503.8125,237.08823529411765
2023,Al Jouf,8311.0,14.0,36.0,593.6428571428571,230.86111111111111
2023,Asir,45989.0,44.0,104.0,1045.2045454545455,442.2019230769231
2023,Eastern Region,63967.0,66.0,185.0,969.1969696969697,345.76756756756754
2023,Hail,12831.0,17.0,51.0,754.7647058823529,251.58823529411765
2023,Jazan,19115.0,24.0,54.0,796.4583333333334,353.98148148148147
2023,Madinah,53988.0,38.0,92.0,1420.7368421052631,586.8260869565217
2023,Makkah,176675.0,106.0,264.0,1666.745283018868,669.2234848484849
2023,Najran,7414.0,17.0,48.0,436.11764705882354,154.45833333333334
2023,Northern Borders,5642.0,14.0,36.0,403.0,156.72222222222223
2023,Qassim,26209.0,30.0,77.0,873.6333333333333,340.3766233766234
2023,Riyadh,134740.0,102.0,291.0,1320.9803921568628,463.02405498281786
2023,Tabuk,18015.0,26.0,62.0,692.8846153846154,290.56451612903226
2024,Al Baha,8578.0,16.0,34.0,536.125,252.2941176470588
2024,Al Jouf,7905.0,14.0,30.0,564.6428571428571,263.5
2024,Asir,39241.0,41.0,97.0,957.0975609756098,404.54639175257734
2024,Eastern Region,65447.0,67.0,142.0,976.820895522388,460.8943661971831
2024,Hail,13723.0,17.0,32.0,807.2352941176471,428.84375
2024,Jazan,21955.0,24.0,49.0,914.7916666666666,448.0612244897959
2024,Madinah,56794.0,39.0,79.0,1456.2564102564102,718.9113924050633
2024,Makkah,171937.0,98.0,245.0,1754.4591836734694,701.7836734693877
2024,Najran,8105.0,17.0,39.0,476.7647058823529,207.82051282051282
2024,Northern Borders,5971.0,15.0,32.0,398.06666666666666,186.59375
2024,Qassim,28388.0,30.0,72.0,946.2666666666667,394.27777777777777
2024,Riyadh,117881.0,112.0,142.0,1052.5089285714287,830.1478873239437
2024,Tabuk,20363.0,26.0,59.0,783.1923076923077,345.135593220339
