comparison_group_id,topic,representative_title,years_found,four_year_complete,geographies_found,same_geography_candidate,column_counts,exact_column_structure,header_field_counts,similar_header_width,units_found,unit_consistency_candidate,contract_candidate_status,same_business_definition_confirmed,same_grain_confirmed,same_geography_confirmed,same_unit_definition_confirmed,totals_handling_confirmed,source_notes_reviewed,final_source_decision,decision_reason
FY-001,Population,Crude Birth Rate /1000 Population,2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,8 | 10 | 14,NO,4,YES,COUNT | PERCENT | PER_1000 | RATE,YES,REVIEW_REQUIRED,,,,,,,,
FY-003,Population,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,9 | 12,NO,7,YES,PER_1000 | RATE,YES,REVIEW_REQUIRED,,,,,,,,
FY-005,Population | Capacity,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,29,YES,20,YES,BEDS | PER_10000 | RATE,YES,REVIEW_REQUIRED,,,,,,,,
FY-006,Workforce,Health Manpower in KSA Health Sectors in the Last Five Years,2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,22 | 26 | 28,NO,14 | 16,YES,COUNT | PERCENT,YES,REVIEW_REQUIRED,,,,,,,,
FY-007,Workforce | Activity,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2021G",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,18 | 21 | 23 | 24,NO,16,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-008,Workforce,Health Manpower in MOH by Nationality in the Last Five Years,2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,19,YES,9,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-009,Capacity | Workforce,"Health Manpower in MOH Hospitals by Nationality, in the last Five Years",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,19,YES,7 | 9,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-010,Capacity | Workforce,"Health Manpower in Primary Health Care Centers, MOH, in the last Five Years",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,19,YES,7 | 9,YES,,YES,REVIEW_REQUIRED,,,,,,,,
FY-011,Capacity | Workforce,"Physicians and Dentists in MOH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,9 | 19,NO,6 | 7,YES,BEDS,YES,REVIEW_REQUIRED,,,,,,,,
FY-012,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2021G.",2021 | 2022 | 2023 | 2024,YES,UNKNOWN_OR_NATIONAL,NO,14 | 37 | 56,NO,11 | 36 | 47,NO,BEDS,YES,REVIEW_REQUIRED,,,,,,,,
