comparison_group_id,source_year,workbook_name,sheet_name,topic,likely_table_title,probable_header_row,probable_data_start_row,header_non_empty_count,header_values_json,detected_geography,detected_units,total_terms_found,source_or_note_terms
FY-001,2021,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,Population,Crude Birth Rate /1000 Population,6,7,4,"[""المؤشر"", ""القيمة Value"", ""العام Year"", ""Indicator""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT | PER_1000 | RATE,total,source | المصدر | مصدر
FY-001,2022,2022-Chapter-I-Health-Indicators.xlsx,1,Population,Crude Birth Rate /1000 Population,6,7,4,"[""المؤشر"", ""القيمة Value"", ""العام Year"", ""Indicator""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT | PER_1000 | RATE,total,source | المصدر | مصدر
FY-001,2023,Statistical-Yearbook-2023.xlsx,1,Population,Crude Birth Rate /1000 Population,6,7,4,"[""المؤشر"", ""القيمة Value"", ""العام Year"", ""Indicator""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT | PER_1000 | RATE,total,source | المصدر | مصدر
FY-001,2024,Statistical-Yearbook-2024.xlsx,1-1,Population,Crude Birth Rate /1000 Population,6,7,4,"[""المؤشر"", ""القيمة Value"", ""العام Year"", ""Indicator""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT | PER_1000 | RATE,total,source | المصدر | مصدر
FY-003,2021,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,8,Population,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years",4,5,7,"[""المؤشر"", ""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""Indicator""]",UNKNOWN_OR_NATIONAL,PER_1000 | RATE,,
FY-003,2022,2022-Chapter-I-Health-Indicators.xlsx,7,Population,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years",4,5,7,"[""المؤشر"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""Indicator""]",UNKNOWN_OR_NATIONAL,PER_1000 | RATE,,
FY-003,2023,Statistical-Yearbook-2023.xlsx,12,Population,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years",4,5,7,"[""المؤشر"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""2023G"", ""Indicator""]",UNKNOWN_OR_NATIONAL,PER_1000 | RATE,,
FY-003,2024,Statistical-Yearbook-2024.xlsx,1-11,Population,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years",4,5,7,"[""المؤشر"", ""2020G"", ""2021G"", ""2022G"", ""2023G"", ""2024G"", ""Indicator""]",UNKNOWN_OR_NATIONAL,PER_1000 | RATE,,
FY-005,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-2,Population | Capacity,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,6,7,20,"[""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة""]",UNKNOWN_OR_NATIONAL,BEDS | PER_10000 | RATE,total | المجموع,
FY-005,2022,2022-Chapter-II-Health-Resources.xlsx,2-2,Population | Capacity,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,6,7,20,"[""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة""]",UNKNOWN_OR_NATIONAL,BEDS | PER_10000 | RATE,total | المجموع,
FY-005,2023,Statistical-Yearbook-2023.xlsx,2.,Population | Capacity,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,6,7,20,"[""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة""]",UNKNOWN_OR_NATIONAL,BEDS | PER_10000 | RATE,total | المجموع,
FY-005,2024,Statistical-Yearbook-2024.xlsx,2-2,Population | Capacity,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,6,7,20,"[""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة"", ""Hospitals"", ""المستشفيات"", ""Beds"", ""الأسرة""]",UNKNOWN_OR_NATIONAL,BEDS | PER_10000 | RATE,total | المجموع,
FY-006,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4,Workforce,Health Manpower in KSA Health Sectors in the Last Five Years,11,12,14,"[""إجمالي طاقم التمريض والقابلات"", ""=C9+C10"", ""57.9"", ""=E9+E10"", ""59.4"", ""=G9+G10"", ""59.7"", ""=I9+I10"", ""62.4"", ""=K9+K10"", ""63.1"", ""Total Nurses and Midwives"", ""=O9+O10"", ""=O11/K11""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total,
FY-006,2022,2022-Chapter-II-Health-Resources.xlsx,2-4,Workforce,Health Manpower in KSA Health Sectors in the Last Five Years,11,12,14,"[""إجمالي طاقم التمريض والقابلات"", ""=C9+C10"", ""59.4"", ""=E9+E10"", ""59.7"", ""=G9+G10"", ""62.4"", ""=I9+I10"", ""63.1"", ""=K9+K10"", ""67.1"", ""Total Nurses and Midwives"", ""=O9+O10"", ""=O11/K11""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total,
FY-006,2023,Statistical-Yearbook-2023.xlsx,4.,Workforce,Health Manpower in KSA Health Sectors in the Last Five Years,5,6,14,"[""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total,
FY-006,2024,Statistical-Yearbook-2024.xlsx,2-17,Workforce,Health Manpower in KSA Health Sectors in the Last Five Years,5,6,16,"[""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total,
FY-007,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-5,Workforce | Activity,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2021G",7,8,16,"[""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
