comparison_group_id,source_year,topic,workbook_name,sheet_name,grain_candidate,geography_candidate,units_candidate,confirmed_grain,confirmed_key_columns,confirmed_measure_columns,manual_status
FY-001,2021,Population,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,Year × National / Other Geography × Population Measure,UNKNOWN_OR_NATIONAL,COUNT | PERCENT | PER_1000 | RATE,,,,PENDING
FY-001,2022,Population,2022-Chapter-I-Health-Indicators.xlsx,1,Year × National / Other Geography × Population Measure,UNKNOWN_OR_NATIONAL,COUNT | PERCENT | PER_1000 | RATE,,,,PENDING
FY-001,2023,Population,Statistical-Yearbook-2023.xlsx,1,Year × National / Other Geography × Population Measure,UNKNOWN_OR_NATIONAL,COUNT | PERCENT | PER_1000 | RATE,,,,PENDING
FY-001,2024,Population,Statistical-Yearbook-2024.xlsx,1-1,Year × National / Other Geography × Population Measure,UNKNOWN_OR_NATIONAL,COUNT | PERCENT | PER_1000 | RATE,,,,PENDING
FY-003,2021,Population,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,8,Year × National / Other Geography × Population Measure,UNKNOWN_OR_NATIONAL,PER_1000 | RATE,,,,PENDING
FY-003,2022,Population,2022-Chapter-I-Health-Indicators.xlsx,7,Year × National / Other Geography × Population Measure,UNKNOWN_OR_NATIONAL,PER_1000 | RATE,,,,PENDING
FY-003,2023,Population,Statistical-Yearbook-2023.xlsx,12,Year × National / Other Geography × Population Measure,UNKNOWN_OR_NATIONAL,PER_1000 | RATE,,,,PENDING
FY-003,2024,Population,Statistical-Yearbook-2024.xlsx,1-11,Year × National / Other Geography × Population Measure,UNKNOWN_OR_NATIONAL,PER_1000 | RATE,,,,PENDING
FY-005,2021,Population | Capacity,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-2,Year × National / Other Geography × Facility / Capacity Measure × Population Measure,UNKNOWN_OR_NATIONAL,BEDS | PER_10000 | RATE,,,,PENDING
FY-005,2022,Population | Capacity,2022-Chapter-II-Health-Resources.xlsx,2-2,Year × National / Other Geography × Facility / Capacity Measure × Population Measure,UNKNOWN_OR_NATIONAL,BEDS | PER_10000 | RATE,,,,PENDING
FY-005,2023,Population | Capacity,Statistical-Yearbook-2023.xlsx,2.,Year × National / Other Geography × Facility / Capacity Measure × Population Measure,UNKNOWN_OR_NATIONAL,BEDS | PER_10000 | RATE,,,,PENDING
FY-005,2024,Population | Capacity,Statistical-Yearbook-2024.xlsx,2-2,Year × National / Other Geography × Facility / Capacity Measure × Population Measure,UNKNOWN_OR_NATIONAL,BEDS | PER_10000 | RATE,,,,PENDING
FY-006,2021,Workforce,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-006,2022,Workforce,2022-Chapter-II-Health-Resources.xlsx,2-4,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-006,2023,Workforce,Statistical-Yearbook-2023.xlsx,4.,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-006,2024,Workforce,Statistical-Yearbook-2024.xlsx,2-17,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,COUNT | PERCENT,,,,PENDING
FY-007,2021,Workforce | Activity,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-5,Year × National / Other Geography × Workforce Type / Profession × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-007,2022,Workforce | Activity,2022-Chapter-II-Health-Resources.xlsx,2-5,Year × National / Other Geography × Workforce Type / Profession × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-007,2023,Workforce | Activity,Statistical-Yearbook-2023.xlsx,5.,Year × National / Other Geography × Workforce Type / Profession × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-007,2024,Workforce | Activity,Statistical-Yearbook-2024.xlsx,2-19,Year × National / Other Geography × Workforce Type / Profession × Activity Type,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-008,2021,Workforce,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 ,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-008,2022,Workforce,2022-Chapter-II-Health-Resources.xlsx,2-8 ,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-008,2023,Workforce,Statistical-Yearbook-2023.xlsx,13.,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-008,2024,Workforce,Statistical-Yearbook-2024.xlsx,2-37,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-009,2021,Capacity | Workforce,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.17,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-009,2022,Capacity | Workforce,2022-Chapter-II-Health-Resources.xlsx,2.17,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-009,2023,Capacity | Workforce,Statistical-Yearbook-2023.xlsx,22,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-009,2024,Capacity | Workforce,Statistical-Yearbook-2024.xlsx,2-40,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-010,2021,Capacity | Workforce,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.21,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-010,2022,Capacity | Workforce,2022-Chapter-II-Health-Resources.xlsx,2.21,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-010,2023,Capacity | Workforce,Statistical-Yearbook-2023.xlsx,26,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-010,2024,Capacity | Workforce,Statistical-Yearbook-2024.xlsx,2-42,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-011,2021,Capacity | Workforce,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.22,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
FY-011,2022,Capacity | Workforce,2022-Chapter-II-Health-Resources.xlsx,2.22,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
FY-011,2023,Capacity | Workforce,Statistical-Yearbook-2023.xlsx,27,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
