comparison_group_id,topic,representative_title,automated_candidate_status,business_definition,grain,geography,units,totals_subtotals,footnotes_sources,final_decision,approved_fact_target,review_notes
FY-001,Population,Crude Birth Rate /1000 Population,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-003,Population,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-005,Population | Capacity,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-006,Workforce,Health Manpower in KSA Health Sectors in the Last Five Years,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-007,Workforce | Activity,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2021G",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-008,Workforce,Health Manpower in MOH by Nationality in the Last Five Years,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-009,Capacity | Workforce,"Health Manpower in MOH Hospitals by Nationality, in the last Five Years",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-010,Capacity | Workforce,"Health Manpower in Primary Health Care Centers, MOH, in the last Five Years",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-011,Capacity | Workforce,"Physicians and Dentists in MOH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-012,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2021G.",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-013,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-014,Workforce,Health Manpower at Private Sector in the last Five Years,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-015,Workforce,Table 4-40,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-016,Capacity,Prince Mohammad Bin Abdulaziz Hospital,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-017,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-018,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2021G.",STRONG_CANDIDATE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-020,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-021,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2021G.",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-022,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2021G",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-023,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-024,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2021G",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-025,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-026,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2021G.",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-028,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-029,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2021م.,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-030,Activity,Table 4-48,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-031,Capacity | Activity,King Faisal Specialist Hospital,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-032,Activity,العيادات الخارجية – متوسط وقت الانتظار للموعد (بالايام),REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-033,Activity,قسم الطوارئ – نسبة المرضى الذين انهيت اجراءاتهم خلال 4 ساعات,REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-034,Capacity,متوسط مدة الإقامة للمرضى داخل المستشفى (بالأيام),REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
FY-036,Activity,غرفة العمليات – متوسط وقت انتظار الجراحة (بالأيام),REVIEW_REQUIRED,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,
