workbook_name,sheet_name,sheet_state,max_row_reported,max_column_reported,rows_scanned,columns_scanned,first_non_empty_row_candidate,probable_header_row,probable_data_start_row,blank_rows_in_sample,sample_non_empty_cells,region_keyword_hits,year_keyword_hits,total_keyword_hits,source_keyword_hits,region_candidate_count,year_candidate_count,detected_years,analytical_clues
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,visible,26,38,26,38,1,2,3,0,42,6,8,0,2,0,2,"2021, 2022","region, year, population, hospital"
2022-Chapter-I-Health-Indicators.xlsx,1,visible,22,14,22,14,1,6,7,1,66,0,6,2,2,0,13,2022,"year, population"
2022-Chapter-I-Health-Indicators.xlsx,2,visible,10,8,10,8,1,4,5,1,28,0,0,0,0,0,0,,population
2022-Chapter-I-Health-Indicators.xlsx,3,visible,23,11,23,11,1,7,8,1,40,0,3,2,2,0,2,"2021, 2022",year
2022-Chapter-I-Health-Indicators.xlsx,4,visible,18,14,18,14,1,4,5,1,102,0,1,0,1,0,0,,"year, population, hospital, bed, physician, nurse"
2022-Chapter-I-Health-Indicators.xlsx,5,visible,32,8,32,8,1,4,5,7,180,4,1,0,1,18,1,2022,"region, year, hospital, bed, physician, nurse"
2022-Chapter-I-Health-Indicators.xlsx,6,visible,13,8,13,8,1,4,5,1,52,0,1,0,0,0,0,,year
2022-Chapter-I-Health-Indicators.xlsx,7,visible,14,12,14,12,1,4,5,3,60,0,1,0,0,0,0,,"year, population"
2022-Chapter-I-Health-Indicators.xlsx,8,visible,22,11,22,11,1,5,6,2,82,0,5,0,2,0,2,"2021, 2022","year, population"
2022-Chapter-I-Health-Indicators.xlsx,9,visible,22,13,22,13,1,8,9,0,156,0,9,0,0,0,6,"2021, 2022","year, population, bed"
2022-Chapter-I-Health-Indicators.xlsx,10,visible,50,21,40,21,1,5,6,16,199,0,2,5,2,0,0,,"year, population"
2022-Chapter-I-Health-Indicators.xlsx,11,visible,33,16,33,16,1,4,6,7,116,4,2,3,2,15,0,,"region, year, population"
2022-Chapter-I-Health-Indicators.xlsx,12,visible,35,17,35,17,1,15,16,15,233,5,4,2,2,20,3,"2021, 2022","region, year, population"
2022-Chapter-II-Health-Resources.xlsx,فهرس الباب الثاني,visible,92,38,40,38,1,2,3,0,63,24,22,0,1,0,1,2022,"region, year, population, hospital, bed, physician"
2022-Chapter-II-Health-Resources.xlsx,2-1,visible,25,6,25,6,1,6,7,8,56,0,4,2,0,0,2,"2021, 2022",year
2022-Chapter-II-Health-Resources.xlsx,2-2,visible,17,29,17,29,1,6,7,6,88,0,3,2,0,0,0,,"year, population, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2-3,visible,29,11,29,11,1,7,8,1,240,4,0,4,0,18,1,2024,"region, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2-4,visible,38,22,38,22,1,11,12,1,479,0,2,6,0,0,0,,"year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2-5,visible,53,21,40,21,1,7,8,0,640,0,4,9,0,0,0,,"year, bed, physician"
2022-Chapter-II-Health-Resources.xlsx,2-6,visible,43,19,40,19,1,4,5,14,324,5,1,1,0,18,0,,"region, year, hospital"
2022-Chapter-II-Health-Resources.xlsx,2-7,visible,176,21,40,21,1,7,8,0,498,2,1,36,0,9,0,,"region, year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2-8 ,visible,29,19,29,19,1,12,13,0,198,0,3,18,0,0,0,,"year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2-9,visible,29,10,29,10,1,5,6,1,223,0,2,4,0,0,0,,"year, activity"
2022-Chapter-II-Health-Resources.xlsx,2-10,visible,32,14,32,14,1,7,8,1,344,4,2,12,2,18,0,,"region, year, hospital, nurse"
2022-Chapter-II-Health-Resources.xlsx,2-11,visible,30,15,30,15,1,5,6,3,330,4,1,2,0,18,0,,"region, year, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2-12,visible,32,20,32,20,1,7,8,0,440,4,2,5,0,18,0,,"region, year, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2-13,visible,29,19,29,19,1,5,6,3,226,4,1,3,0,18,0,,"region, year, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2.14,visible,77,39,40,39,1,4,5,15,439,4,1,4,0,18,0,,"region, year, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2.15,visible,29,19,29,19,1,7,8,1,261,4,1,4,0,17,0,,"region, year, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2.16,visible,29,19,29,19,1,7,8,0,214,4,1,6,0,17,1,2022,"region, year, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2.17,visible,78,19,40,19,1,14,15,11,199,0,3,18,0,0,0,,"year, hospital, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.18,visible,176,21,40,21,1,7,8,0,498,2,1,36,0,9,0,,"region, year, hospital, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.19,visible,131,75,40,40,1,7,8,0,1072,2,4,14,0,8,0,,"region, year, hospital, bed, physician"
2022-Chapter-II-Health-Resources.xlsx,2.20,visible,31,11,31,11,1,4,5,6,158,4,1,2,0,18,0,,"region, year"
2022-Chapter-II-Health-Resources.xlsx,2.21,visible,29,19,29,19,1,14,15,0,199,0,4,18,0,0,0,,"year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.22,visible,34,9,34,9,1,4,5,8,176,0,3,15,0,0,0,,"year, bed, physician"
2022-Chapter-II-Health-Resources.xlsx,2.23,visible,176,21,40,21,1,14,15,0,498,2,1,36,0,10,0,,"region, year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.24,visible,158,21,40,21,1,13,14,0,498,2,3,36,0,9,0,,"region, year, bed, physician"
2022-Chapter-II-Health-Resources.xlsx,2.25,visible,27,56,27,40,1,4,5,8,281,0,1,4,0,0,1,2022,"year, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2.26,visible,120,28,40,28,1,14,15,1,474,0,1,36,1,1,0,,"year, hospital, physician, nurse"
