workbook_name,sheet_name,row_number,values_json
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,1,"[""جدول"", ""الباب الأول: باب المؤشرات الصحية"", ""صفحة"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,2,"[""Table"", ""Chapter I : Health Indicators"", ""Page"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,3,"[""1-1"", ""المؤشرات السكانية"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,4,"["""", ""Demographic Indicators"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,5,"[""1-2"", ""مؤشرات الوفيات"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,6,"["""", ""Mortality Indicators"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,7,"[""1-3"", ""المؤشرات الاقتصادية"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,8,"["""", ""Economic Indicators"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,9,"[""1-4"", ""مؤشرات الموارد الصحية (لكل عشرة آلاف نسمة) في الأعوام الخمسة الأخيرة."", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,10,"["""", ""Health Resources Indicators (per 10,000 population) in the Last Five Years."", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,11,"[""1-5"", ""مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022 م."", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,12,"["""", ""Selected Indicators of Available Resources at MoH Hospitals by Health Region, 2022G"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,13,"[""1-6"", ""النسبة المئوية للتغطية بالتحصينات الأساسية في الأعوام الخمسة الأخيرة."", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,14,"["""", ""Basic Immunization Coverage (%) in the Last Five Years."", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,15,"[""1-7"", ""معدلات الإصابة لبعض الأمراض المستهدفة بالتحصين (لكل مائة ألف من السكان) في الأعوام الخمسة الأخيرة."", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,16,"["""", ""Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years."", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,17,"[""1-8"", ""الإصابات والوفيات نتيجة الحوادث المرورية في الأعوام العشرة الأخيرة"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,18,"["""", ""Injuries and Deaths  from Road Traffic Accidents (RTA) in the Last Ten Years"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,19,"[""1-9"", ""مؤشرات مختارة لأهداف التنمية المستدامة ومؤشرات منظمة الصحة العالمية بالمملكة العربية السعودية"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,20,"["""", ""Selected SDGs & WHO Indicators, KSA"", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,1,"[""المؤشرات الأساسية"", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,2,"[""Basic Indicators"", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,3,"[""المؤشرات السكانية"", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,4,"[""Demographic Indicators"", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,5,"[""جدول 1-1"", """", ""Table 1-1"", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,6,"[""المؤشر"", ""القيمة\nValue"", ""العام\nYear"", ""Indicator"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,7,"[""إجمالي عدد السكان"", ""32175224"", ""2022"", ""Total Population Size"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,8,"[""عدد السكان الذكور"", ""19678595"", ""2022"", ""Male Population"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,9,"[""عدد السكان الإناث"", ""12496629"", ""2022"", ""Female Population"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,10,"[""المعدل الخام للمواليد لكل 1000 نسمة"", ""15.1"", ""2022"", ""Crude Birth Rate /1000 Population"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,11,"[""معدل النمو السنوي للسكان  (%)"", ""2.45"", ""2022"", ""Annual Population Growth Rate (%)"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,12,"[""النسبة المئوية للسكان أقل من 5 سنوات"", ""8"", ""2022"", ""% Population Under 5 Years"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,13,"[""النسبة المئوية للسكان أقل من 15 سنة"", ""24.5"", ""2022"", ""% Population Under 15 Years"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,14,"[""النسبة المئوية للسكان من 15-64 سنة"", ""72.8"", ""2022"", ""% Population 15- 64 Years"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,15,"[""النسبة المئوية للسكان  من 65 سنة  فأكثر"", ""2.7"", ""2022"", ""% Population 65+ Years"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,16,"[""معدل الخصوبة الكلي"", ""2.14"", ""2022"", ""Total Fertility Rate"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,17,"[""العمر المتوقع عند الولادة للسعوديين"", """", ""Life Expectancy at Birth (Saudi)"", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,18,"[""الكلي"", ""77.9"", ""2022"", ""Both Sexes"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,19,"[""للذكور"", ""75.3"", ""2022"", ""Male"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,1,20,"[""للإناث"", ""80.9"", ""2022"", ""Female"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,2,1,"[""مؤشرات الوفيات"", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,2,2,"[""Mortality Indicators"", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,2,3,"[""جدول 1-2"", """", ""Table 1-2"", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,2,4,"[""المؤشر"", ""2021G"", ""2022G"", ""Indicator"", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,2,5,"[""المعدل الخام للوفيات لكل ألف نسمة"", ""2.81"", ""2.62"", ""Crude Death Rate /1000 Population"", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,2,6,"[""معدل وفيات حديثي الولادة لكل ألف مولود حي"", ""2.75"", ""2.42"", ""Neonatal Mortality Rate / 1000  Live Birth"", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,2,7,"[""معدل وفيات الرضع لكل ألف مولود حي"", ""6.66"", ""7.41"", ""Infant Mortality Rate / 1000  Live Birth"", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,2,8,"[""معدل وفيـات الأطفال دون الخامسة لكل ألف مولود حي"", ""8.96"", ""10.05"", ""Under 5 Mortality Rate/1000 Live Birth"", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,2,9,"[""معدل وفيــــات الأمومة لكل مائة ألف مولود حي"", ""12.16"", ""9.42"", ""Maternal Mortality Ratio/100,000 Live Birth"", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,2,10,"["""", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,1,"[""المؤشرات الاقتصادية"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,2,"[""Economic Indicators"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,3,"[""جدول 1-3"", ""Table 1-3"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,4,"[""نصيب الفرد  من الناتج  المحلي الإجمالي بالدولار الأمريكي"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,5,"[""GDP per Capita (In American $)"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,6,"[""العام"", ""نصيب الفرد  من الناتج  المحلي الإجمالي بالدولار الأمريكي"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,7,"[""Year"", ""GDP per Capita (by American $)"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,8,"[""2010"", ""22028.383130673392"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,9,"[""2011"", ""26966.29060217183"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,10,"[""2012"", ""28348.57753049532"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,11,"[""2013"", ""27290.19817077378"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,12,"[""2014"", ""27079.676214942916"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,13,"[""2015"", ""22453.575397876568"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,14,"[""2016"", ""21515.656121802655"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,15,"[""2017"", ""23081.205448032946"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,16,"[""2018"", ""28036.028184393195"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,17,"[""2019"", ""27892.839012948527"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,18,"[""2020"", ""23271.40325618726"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,19,"[""2021*"", ""28215.146344318196"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,3,20,"[""2022*"", ""34441.05529952524"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,4,1,"[""مؤشرات الموارد الصحية (لكل عشرة آلاف نسمة) في الأعوام الخمسة الأخيرة"", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,4,2,"[""Health Resources Indicators (per 10,000 population) in the Last Five Years"", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,4,3,"[""جدول 1-4"", """", ""Table 1-4"", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,4,4,"[""المؤشر"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""Indicator"", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,4,5,"[""الأطبـــــاء (شاملا أطباء الأسنان)"", ""34.7"", ""37.6"", ""36.4"", ""39.8"", ""40.1"", ""Physicians (including Dentists)"", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,4,6,"[""الأطباء البشريون"", ""29.2"", ""31.4"", ""30.2"", ""32.4"", ""32.7"", ""Physicians"", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,4,7,"[""أطباء الأسنان"", ""5.5"", ""6.3"", ""6.2"", ""7.4"", ""7.4"", ""Dentists"", """", """", """", """", """", """", """"]"
2022-Chapter-I-Health-Indicators.xlsx,4,8,"[""الصيادلة"", ""9.6"", ""10.6"", ""8.7"", ""10"", ""10.6"", ""Pharmacists"", """", """", """", """", """", """", """"]"
