workbook_name,sheet_name,row_number,column_number,keyword_group,matched_keyword,cell_value
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,3,2,population,السكان,المؤشرات السكانية
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,10,2,year,year,"Health Resources Indicators (per 10,000 population) in the Last Five Years."
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,10,2,source,source,"Health Resources Indicators (per 10,000 population) in the Last Five Years."
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,10,2,population,population,"Health Resources Indicators (per 10,000 population) in the Last Five Years."
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,11,2,region,المنطقة,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022 م.
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,11,2,year,عام,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022 م.
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,12,2,region,region,"Selected Indicators of Available Resources at MoH Hospitals by Health Region, 2022G"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,12,2,source,source,"Selected Indicators of Available Resources at MoH Hospitals by Health Region, 2022G"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,12,2,hospital,hospital,"Selected Indicators of Available Resources at MoH Hospitals by Health Region, 2022G"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,14,2,year,year,Basic Immunization Coverage (%) in the Last Five Years.
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,15,2,population,السكان,معدلات الإصابة لبعض الأمراض المستهدفة بالتحصين (لكل مائة ألف من السكان) في الأعوام الخمسة الأخيرة.
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,16,2,year,year,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years."
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,16,2,population,population,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years."
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,18,2,year,year,Injuries and Deaths  from Road Traffic Accidents (RTA) in the Last Ten Years
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,21,2,year,عام,السكان حسب الجنسية والجنس والفئات العمرية لعام 2022م
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,21,2,population,السكان,السكان حسب الجنسية والجنس والفئات العمرية لعام 2022م
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,22,2,population,population,"Population by Nationality, Gender, and Age groups, 2022G"
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,23,2,region,المناطق,عدد السكان بالمناطق الصحية حسب الجنسية لعام 2022م.
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,23,2,year,عام,عدد السكان بالمناطق الصحية حسب الجنسية لعام 2022م.
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,23,2,population,السكان,عدد السكان بالمناطق الصحية حسب الجنسية لعام 2022م.
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,24,2,region,region,"Population By Health Regions and Nationality, 2022G."
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,24,2,population,population,"Population By Health Regions and Nationality, 2022G."
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,25,2,region,المناطق,تقديرات عدد السكان بالمناطق الإدارية للأعوام 2010-2021  بناء على تعداد عام 2022م.
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,25,2,year,عام,تقديرات عدد السكان بالمناطق الإدارية للأعوام 2010-2021  بناء على تعداد عام 2022م.
