workbook_name,sheet_name,row_number,column_number,region_candidate
2022-Chapter-I-Health-Indicators.xlsx,5,5,1,الرياض
2022-Chapter-I-Health-Indicators.xlsx,5,5,8,Riyadh
2022-Chapter-I-Health-Indicators.xlsx,5,9,1,المدينة المنورة
2022-Chapter-I-Health-Indicators.xlsx,5,10,1,القصيم
2022-Chapter-I-Health-Indicators.xlsx,5,11,1,الشرقية
2022-Chapter-I-Health-Indicators.xlsx,5,11,8,Eastern
2022-Chapter-I-Health-Indicators.xlsx,5,14,1,عسير
2022-Chapter-I-Health-Indicators.xlsx,5,16,1,تبوك
2022-Chapter-I-Health-Indicators.xlsx,5,17,1,حائل
2022-Chapter-I-Health-Indicators.xlsx,5,18,1,الحدود الشمالية
2022-Chapter-I-Health-Indicators.xlsx,5,19,1,جازان
2022-Chapter-I-Health-Indicators.xlsx,5,19,8,Jazan
2022-Chapter-I-Health-Indicators.xlsx,5,20,1,نجران
2022-Chapter-I-Health-Indicators.xlsx,5,20,8,Najran
2022-Chapter-I-Health-Indicators.xlsx,5,21,1,الباحة
2022-Chapter-I-Health-Indicators.xlsx,5,21,8,Al- Bahah
2022-Chapter-I-Health-Indicators.xlsx,5,22,1,الجوف
2022-Chapter-I-Health-Indicators.xlsx,5,22,8,Al- Jouf
2022-Chapter-I-Health-Indicators.xlsx,11,6,1,الرياض
2022-Chapter-I-Health-Indicators.xlsx,11,6,5,Riyadh
2022-Chapter-I-Health-Indicators.xlsx,11,10,1,المدينة المنورة
2022-Chapter-I-Health-Indicators.xlsx,11,11,1,القصيم
2022-Chapter-I-Health-Indicators.xlsx,11,12,5,Eastern
2022-Chapter-I-Health-Indicators.xlsx,11,15,1,عسير
2022-Chapter-I-Health-Indicators.xlsx,11,17,1,تبوك
2022-Chapter-I-Health-Indicators.xlsx,11,18,1,حائل
2022-Chapter-I-Health-Indicators.xlsx,11,20,1,جازان
2022-Chapter-I-Health-Indicators.xlsx,11,20,5,Jazan
2022-Chapter-I-Health-Indicators.xlsx,11,21,1,نجران
2022-Chapter-I-Health-Indicators.xlsx,11,21,5,Najran
2022-Chapter-I-Health-Indicators.xlsx,11,22,5,Al-Bahah
2022-Chapter-I-Health-Indicators.xlsx,11,23,1,الجوف
2022-Chapter-I-Health-Indicators.xlsx,11,23,5,Al-Jouf
2022-Chapter-I-Health-Indicators.xlsx,12,5,1,الرياض
2022-Chapter-I-Health-Indicators.xlsx,12,5,15,Riyadh
2022-Chapter-I-Health-Indicators.xlsx,12,6,1,مكة المكرمة
2022-Chapter-I-Health-Indicators.xlsx,12,6,15,Makkah
2022-Chapter-I-Health-Indicators.xlsx,12,7,1,المدينة المنورة
2022-Chapter-I-Health-Indicators.xlsx,12,8,1,القصيم
2022-Chapter-I-Health-Indicators.xlsx,12,9,1,المنطقة الشرقية
2022-Chapter-I-Health-Indicators.xlsx,12,9,15,Eastern
2022-Chapter-I-Health-Indicators.xlsx,12,10,1,عسير
2022-Chapter-I-Health-Indicators.xlsx,12,11,1,تبوك
2022-Chapter-I-Health-Indicators.xlsx,12,12,1,حائل
2022-Chapter-I-Health-Indicators.xlsx,12,13,1,الحدود الشمالية
2022-Chapter-I-Health-Indicators.xlsx,12,14,1,جازان
2022-Chapter-I-Health-Indicators.xlsx,12,14,15,Jazan
2022-Chapter-I-Health-Indicators.xlsx,12,15,1,نجران
2022-Chapter-I-Health-Indicators.xlsx,12,15,15,Najran
2022-Chapter-I-Health-Indicators.xlsx,12,16,1,الباحة
2022-Chapter-I-Health-Indicators.xlsx,12,16,15,Al-Bahah
2022-Chapter-I-Health-Indicators.xlsx,12,17,1,الجوف
2022-Chapter-I-Health-Indicators.xlsx,12,17,15,Al-Jouf
2022-Chapter-II-Health-Resources.xlsx,2-3,8,1,الرياض
2022-Chapter-II-Health-Resources.xlsx,2-3,8,10,Riyadh
2022-Chapter-II-Health-Resources.xlsx,2-3,12,1,المدينة المنورة
2022-Chapter-II-Health-Resources.xlsx,2-3,13,1,القصيم
2022-Chapter-II-Health-Resources.xlsx,2-3,14,1,الشرقية
2022-Chapter-II-Health-Resources.xlsx,2-3,14,10,Eastern
2022-Chapter-II-Health-Resources.xlsx,2-3,17,1,عسير
2022-Chapter-II-Health-Resources.xlsx,2-3,19,1,تبوك
2022-Chapter-II-Health-Resources.xlsx,2-3,20,1,حائل
2022-Chapter-II-Health-Resources.xlsx,2-3,21,1,الحدود الشمالية
2022-Chapter-II-Health-Resources.xlsx,2-3,22,1,جازان
2022-Chapter-II-Health-Resources.xlsx,2-3,22,10,Jazan
2022-Chapter-II-Health-Resources.xlsx,2-3,23,1,نجران
2022-Chapter-II-Health-Resources.xlsx,2-3,23,10,Najran
