workbook_name,sheet_name,row_number,column_number,year_candidate,cell_value
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,11,2,2022,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022 م.
2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,25,2,2021,تقديرات عدد السكان بالمناطق الإدارية للأعوام 2010-2021  بناء على تعداد عام 2022م.
2022-Chapter-I-Health-Indicators.xlsx,1,7,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,8,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,9,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,10,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,11,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,12,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,13,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,14,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,15,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,16,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,18,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,19,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,1,20,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,3,19,1,2021,2021*
2022-Chapter-I-Health-Indicators.xlsx,3,20,1,2022,2022*
2022-Chapter-I-Health-Indicators.xlsx,5,1,1,2022,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022 م
2022-Chapter-I-Health-Indicators.xlsx,8,14,1,2021,2021
2022-Chapter-I-Health-Indicators.xlsx,8,15,1,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,9,6,10,2021,2021
2022-Chapter-I-Health-Indicators.xlsx,9,6,11,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,9,8,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,9,9,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,9,10,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,9,13,3,2022,2022
2022-Chapter-I-Health-Indicators.xlsx,12,1,1,2021,تقديرات عدد السكان بالمناطق الإدارية للأعوام 2010-2021  بناء على تعداد عام 2022م.
2022-Chapter-I-Health-Indicators.xlsx,12,4,13,2021,2021
2022-Chapter-I-Health-Indicators.xlsx,12,4,14,2022,2022
2022-Chapter-II-Health-Resources.xlsx,فهرس الباب الثاني,33,2,2022,أسرة العزل والطوارئ بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022
2022-Chapter-II-Health-Resources.xlsx,2-1,11,1,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-1,12,1,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-3,10,5,2024,2024
2022-Chapter-II-Health-Resources.xlsx,2.16,1,1,2022,أسرة العزل والطوارئ بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022
2022-Chapter-II-Health-Resources.xlsx,2.25,15,36,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-41,1,1,2022,الطلبة والطالبات في الكليات الصحية للعام الدراسي 2022-2023م.
2022-Chapter-II-Health-Resources.xlsx,2-41,2,1,2022,Enrolled Students in health colleges for the academic year 2022-2023G.
2022-Chapter-II-Health-Resources.xlsx,2.42,1,1,2021,خريجو وخريجات الكليات الصحية للعام الدراسي 2021-2022م.
2022-Chapter-II-Health-Resources.xlsx,2.42,2,1,2021,Graduates in health colleges for the academic year 2021-2022G.
2022-Chapter-II-Health-Resources.xlsx,2.43,5,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,6,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,7,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,8,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,9,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,10,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.43,11,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,16,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.43,17,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.43,18,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.43,19,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,26,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.43,27,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.43,29,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.43,30,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,31,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,32,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,33,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,34,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,35,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.43,36,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,37,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,38,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.43,39,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.43,40,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,5,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,6,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,8,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,9,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,10,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,11,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,12,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,13,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,14,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,16,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,17,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,18,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,19,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,20,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,21,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,22,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,23,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,25,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,28,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,29,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,30,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,31,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,32,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,33,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,35,5,2022,2022
