severity,workbook_name,sheet_name,risk_type,details
INFO,2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 2
WARNING,2022-Chapter-I-Health-Indicators.xlsx,1,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
INFO,2022-Chapter-I-Health-Indicators.xlsx,1,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 2
WARNING,2022-Chapter-I-Health-Indicators.xlsx,3,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
INFO,2022-Chapter-I-Health-Indicators.xlsx,3,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 2
INFO,2022-Chapter-I-Health-Indicators.xlsx,4,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 1
INFO,2022-Chapter-I-Health-Indicators.xlsx,5,MULTIPLE_BLANK_ROWS_IN_SAMPLE,7 blank rows within first 32 scanned rows
INFO,2022-Chapter-I-Health-Indicators.xlsx,5,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 1
INFO,2022-Chapter-I-Health-Indicators.xlsx,8,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 2
INFO,2022-Chapter-I-Health-Indicators.xlsx,10,MULTIPLE_BLANK_ROWS_IN_SAMPLE,16 blank rows within first 40 scanned rows
WARNING,2022-Chapter-I-Health-Indicators.xlsx,10,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 5
INFO,2022-Chapter-I-Health-Indicators.xlsx,10,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 2
INFO,2022-Chapter-I-Health-Indicators.xlsx,11,MULTIPLE_BLANK_ROWS_IN_SAMPLE,7 blank rows within first 33 scanned rows
WARNING,2022-Chapter-I-Health-Indicators.xlsx,11,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 3
INFO,2022-Chapter-I-Health-Indicators.xlsx,11,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 2
INFO,2022-Chapter-I-Health-Indicators.xlsx,12,MULTIPLE_BLANK_ROWS_IN_SAMPLE,15 blank rows within first 35 scanned rows
WARNING,2022-Chapter-I-Health-Indicators.xlsx,12,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
INFO,2022-Chapter-I-Health-Indicators.xlsx,12,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 2
INFO,2022-Chapter-II-Health-Resources.xlsx,فهرس الباب الثاني,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 1
INFO,2022-Chapter-II-Health-Resources.xlsx,2-1,MULTIPLE_BLANK_ROWS_IN_SAMPLE,8 blank rows within first 25 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-1,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
INFO,2022-Chapter-II-Health-Resources.xlsx,2-2,MULTIPLE_BLANK_ROWS_IN_SAMPLE,6 blank rows within first 17 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-2,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-3,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-4,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 6
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-5,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 9
INFO,2022-Chapter-II-Health-Resources.xlsx,2-6,MULTIPLE_BLANK_ROWS_IN_SAMPLE,14 blank rows within first 40 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-6,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 1
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-7,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 36
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-8 ,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 18
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-9,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-10,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 12
INFO,2022-Chapter-II-Health-Resources.xlsx,2-10,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 2
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-11,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-12,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 5
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-13,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 3
INFO,2022-Chapter-II-Health-Resources.xlsx,2.14,MULTIPLE_BLANK_ROWS_IN_SAMPLE,15 blank rows within first 40 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.14,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.15,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.16,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 6
INFO,2022-Chapter-II-Health-Resources.xlsx,2.17,MULTIPLE_BLANK_ROWS_IN_SAMPLE,11 blank rows within first 40 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.17,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 18
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.18,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 36
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.19,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 14
INFO,2022-Chapter-II-Health-Resources.xlsx,2.20,MULTIPLE_BLANK_ROWS_IN_SAMPLE,6 blank rows within first 31 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.20,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.21,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 18
INFO,2022-Chapter-II-Health-Resources.xlsx,2.22,MULTIPLE_BLANK_ROWS_IN_SAMPLE,8 blank rows within first 34 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.22,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 15
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.23,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 36
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.24,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 36
INFO,2022-Chapter-II-Health-Resources.xlsx,2.25,MULTIPLE_BLANK_ROWS_IN_SAMPLE,8 blank rows within first 27 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.25,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.26,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 36
INFO,2022-Chapter-II-Health-Resources.xlsx,2.26,SOURCE_OR_FOOTNOTE_TEXT_POSSIBLE,Source-related keyword hits = 1
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.27,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 10
INFO,2022-Chapter-II-Health-Resources.xlsx,2.28,MULTIPLE_BLANK_ROWS_IN_SAMPLE,11 blank rows within first 40 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.28,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 18
INFO,2022-Chapter-II-Health-Resources.xlsx,2.29,MULTIPLE_BLANK_ROWS_IN_SAMPLE,6 blank rows within first 31 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.29,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.30,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
INFO,2022-Chapter-II-Health-Resources.xlsx,2.31,MULTIPLE_BLANK_ROWS_IN_SAMPLE,5 blank rows within first 34 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.31,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.32,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
INFO,2022-Chapter-II-Health-Resources.xlsx,2-33,MULTIPLE_BLANK_ROWS_IN_SAMPLE,11 blank rows within first 40 scanned rows
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-33,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 18
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.34,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 36
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.35,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 36
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.36,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 36
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.37,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 14
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.38,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 30
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.40,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
WARNING,2022-Chapter-II-Health-Resources.xlsx,2-41,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
WARNING,2022-Chapter-II-Health-Resources.xlsx,2.42,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 2
WARNING,2022-Chapter-IV-Health-Activities.xlsx,فهرس الباب الرابع,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 1
WARNING,2022-Chapter-IV-Health-Activities.xlsx,1,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
WARNING,2022-Chapter-IV-Health-Activities.xlsx,2,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
WARNING,2022-Chapter-IV-Health-Activities.xlsx,3,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
INFO,2022-Chapter-IV-Health-Activities.xlsx,4,MULTIPLE_BLANK_ROWS_IN_SAMPLE,14 blank rows within first 40 scanned rows
WARNING,2022-Chapter-IV-Health-Activities.xlsx,4,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 4
WARNING,2022-Chapter-IV-Health-Activities.xlsx,5,TOTAL_OR_SUBTOTAL_ROWS_POSSIBLE,Total-related keyword hits = 5
INFO,2022-Chapter-IV-Health-Activities.xlsx,6,MULTIPLE_BLANK_ROWS_IN_SAMPLE,6 blank rows within first 40 scanned rows
