source_year,workbook_name,sheet_name,chapter,likely_table_title,topic,geography_level_candidate,is_index_sheet,likely_analytical_table,max_rows,max_columns,probable_header_row,probable_data_start_row,region_candidate_count,total_keyword_hits,source_keyword_hits,detected_years,normalized_match_title
2022,2022-Chapter-I-Health-Indicators.xlsx,فهرس الباب الأول,Health Indicators,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years.",Population | Capacity,Health Region,YES,NO,26,38,2,3,0,0,2,"2021, 2022","incidence rate of some immunization targeted diseases per , population in the last five years"
2022,2022-Chapter-I-Health-Indicators.xlsx,1,Health Indicators,Crude Birth Rate /1000 Population,Population,Unknown / National / Other,NO,YES,22,14,6,7,0,2,2,2022,crude birth rate population
2022,2022-Chapter-I-Health-Indicators.xlsx,2,Health Indicators,Crude Death Rate /1000 Population,Population,Unknown / National / Other,NO,YES,10,8,4,5,0,0,0,,crude death rate population
2022,2022-Chapter-I-Health-Indicators.xlsx,3,Health Indicators,Table 1-3,Other,Unknown / National / Other,NO,YES,23,11,7,8,0,2,2,"2021, 2022",-
2022,2022-Chapter-I-Health-Indicators.xlsx,4,Health Indicators,"Health Resources Indicators (per 10,000 population) in the Last Five Years",Population | Capacity | Workforce,Unknown / National / Other,NO,YES,18,14,4,5,0,0,1,,"health resources indicators per , population in the last five years"
2022,2022-Chapter-I-Health-Indicators.xlsx,5,Health Indicators,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022 م,Capacity | Workforce,Health Region,NO,YES,32,8,4,5,18,0,1,2022,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة المنطقة الصحية م
2022,2022-Chapter-I-Health-Indicators.xlsx,6,Health Indicators,Table 1-6,Other,Unknown / National / Other,NO,YES,13,8,4,5,0,0,0,,-
2022,2022-Chapter-I-Health-Indicators.xlsx,7,Health Indicators,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years",Population,Unknown / National / Other,NO,YES,14,12,4,5,0,0,0,,"incidence rate of some immunization targeted diseases per , population in the last five years"
2022,2022-Chapter-I-Health-Indicators.xlsx,8,Health Indicators,The indicators of previous years have been recalculated based on the adjustment of the population received from the General Authority for Statistics,Population,Unknown / National / Other,NO,YES,22,11,5,6,0,0,2,"2021, 2022",the indicators of previous years have been recalculated based on the adjustment of the population received from the general authority for statistics
2022,2022-Chapter-I-Health-Indicators.xlsx,9,Health Indicators,2.2.1 Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age (%),Population | Capacity,Unknown / National / Other,NO,YES,22,13,8,9,0,0,0,"2021, 2022",prevalence of stunting height for age <- standard deviation from the median of the world health organization who child growth standards among children under years of age %
2022,2022-Chapter-I-Health-Indicators.xlsx,10,Health Indicators,"Population by Nationality, Gender, and Age groups, 2022G",Population,Unknown / National / Other,NO,YES,50,21,5,6,0,5,2,,"population by nationality, gender, and age groups, g"
2022,2022-Chapter-I-Health-Indicators.xlsx,11,Health Indicators,"Population By Health Regions and Nationality, 2022G.",Population,Health Region,NO,YES,33,16,4,6,15,3,2,,"population by health regions and nationality, g"
2022,2022-Chapter-I-Health-Indicators.xlsx,12,Health Indicators,The indicators of previous years have been recalculated in the statistical yearbook based on the adjustment of the population received from the General Authority for Statistics,Population,Health Region,NO,YES,35,17,15,16,20,2,2,"2021, 2022",the indicators of previous years have been recalculated in the statistical yearbook based on the adjustment of the population received from the general authority for statistics
2022,2022-Chapter-II-Health-Resources.xlsx,فهرس الباب الثاني,Health Resources,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,Population | Capacity | Workforce,Health Region,YES,NO,92,38,2,3,0,0,1,2022,المستشفيات والأسرة بالقطاعات الصحية بالمملكة الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة
2022,2022-Chapter-II-Health-Resources.xlsx,2-1,Health Resources,الميزانية المخصصة لوزارة الصحة ( بمليارات الريالات) في الأعوام الخمسة الأخيرة بالنسبة للميزانية العامة للدولة,Other,Unknown / National / Other,NO,YES,25,6,6,7,0,2,0,"2021, 2022",الميزانية المخصصة لوزارة الصحة بمليارات الريالات في الأعوام الخمسة الأخيرة بالنسبة للميزانية ا ة للدولة
2022,2022-Chapter-II-Health-Resources.xlsx,2-2,Health Resources,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,Population | Capacity,Unknown / National / Other,NO,YES,17,29,6,7,0,2,0,,المستشفيات والأسرة بالقطاعات الصحية بالمملكة الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة
2022,2022-Chapter-II-Health-Resources.xlsx,2-3,Health Resources,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب المنطقة الصحية 2022م,Capacity,Health Region,NO,YES,29,11,7,8,18,4,0,2024,المستشفيات والأسرة بالقطاعات الصحية بالمملكة المنطقة الصحية م
2022,2022-Chapter-II-Health-Resources.xlsx,2-4,Health Resources,Health Manpower in KSA Health Sectors in the Last Five Years,Workforce,Unknown / National / Other,NO,YES,38,22,11,12,0,6,0,,health manpower in ksa health sectors in the last five years
2022,2022-Chapter-II-Health-Resources.xlsx,2-5,Health Resources,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2022G",Workforce | Activity,Unknown / National / Other,NO,YES,53,21,7,8,0,9,0,,"physicians and dentists in ksa health sectors by speciality and professional categories, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2-6,Health Resources,المرافق الصحية بوزارة الصحة حسب المنطقة الصحية عام 2022م,Capacity,Health Region,NO,YES,43,19,4,5,18,1,0,,المرافق الصحية بوزارة الصحة المنطقة الصحية م
2022,2022-Chapter-II-Health-Resources.xlsx,2-7,Health Resources,القوى العاملة الصحية بوزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2022م,Workforce,Health Region,NO,YES,176,21,7,8,9,36,0,,القوى ا لة الصحية بوزارة الصحة المنطقة الصحية والفئة والجنس والجنسية م
2022,2022-Chapter-II-Health-Resources.xlsx,2-8 ,Health Resources,Health Manpower in MoH by Nationality in the Last Five Years,Workforce,Unknown / National / Other,NO,YES,29,19,12,13,0,18,0,,health manpower in moh by nationality in the last five years
2022,2022-Chapter-II-Health-Resources.xlsx,2-9,Health Resources,"Allied Health Personnel by Speciality, Nationality & Sex, 2022G",Activity,Unknown / National / Other,NO,YES,29,10,5,6,0,4,0,,"allied health personnel by speciality, nationality & sex, g"
2022,2022-Chapter-II-Health-Resources.xlsx,2-10,Health Resources,القابلات بمرافق وزارة الصحة حسب المنطقة الصحية عام 2022م,Capacity,Health Region,NO,YES,32,14,7,8,18,12,2,,القابلات بمرافق وزارة الصحة المنطقة الصحية م
2022,2022-Chapter-II-Health-Resources.xlsx,2-11,Health Resources,المستشفيات والأسرة بوزارة الصحة حسب المنطقة الصحية في الأعوام الخمسة الأخيرة,Capacity,Health Region,NO,YES,30,15,5,6,18,2,0,,المستشفيات والأسرة بوزارة الصحة المنطقة الصحية في الأعوام الخمسة الأخيرة
2022,2022-Chapter-II-Health-Resources.xlsx,2-12,Health Resources,مستشفيات وزارة الصحة وعدد الأسرة حسب المنطقة الصحية والتخصص لعام 2022م,Capacity,Health Region,NO,YES,32,20,7,8,18,5,0,,مستشفيات وزارة الصحة وعدد الأسرة المنطقة الصحية والتخصص م
2022,2022-Chapter-II-Health-Resources.xlsx,2-13,Health Resources,مستشفيات وزارة الصحة حسب السعة السريرية والمنطقة الصحية للعام 2022م,Capacity,Health Region,NO,YES,29,19,5,6,18,3,0,,مستشفيات وزارة الصحة السعة السريرية والمنطقة الصحية ل م
2022,2022-Chapter-II-Health-Resources.xlsx,2.14,Health Resources,الأسرة بمستشفيات وزارة الصحة حسب المنطقة الصحية والتخصص لعام 2022م,Capacity | Activity,Health Region,NO,YES,77,39,4,5,18,4,0,,الأسرة بمستشفيات وزارة الصحة المنطقة الصحية والتخصص م
2022,2022-Chapter-II-Health-Resources.xlsx,2.15,Health Resources,أسرة العناية المركزة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022م,Capacity,Health Region,NO,YES,29,19,7,8,17,4,0,,أسرة العناية المركزة بمستشفيات وزارة الصحة المنطقة الصحية م
2022,2022-Chapter-II-Health-Resources.xlsx,2.16,Health Resources,أسرة العزل والطوارئ بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022,Capacity | Activity,Health Region,NO,YES,29,19,7,8,17,6,0,2022,أسرة العزل والطوارئ بمستشفيات وزارة الصحة المنطقة الصحية
2022,2022-Chapter-II-Health-Resources.xlsx,2.17,Health Resources,"Health Manpower in MoH Hospitals by Nationality, in the last Five Years",Capacity | Workforce,Unknown / National / Other,NO,YES,78,19,14,15,0,18,0,,"health manpower in moh hospitals by nationality, in the last five years"
2022,2022-Chapter-II-Health-Resources.xlsx,2.18,Health Resources,القوى العاملة الصحية بمستشفيات وزارة الصحة حسب المنطقة الصحية والفئة والجنس والجنسية عام 2022م,Capacity | Workforce,Health Region,NO,YES,176,21,7,8,9,36,0,,القوى ا لة الصحية بمستشفيات وزارة الصحة المنطقة الصحية والفئة والجنس والجنسية م
2022,2022-Chapter-II-Health-Resources.xlsx,2.19,Health Resources,"Physicians and Dentists, MoH Hospitals by Speciality, Professional Categories and Health Region, 2022G.",Capacity | Workforce | Activity,Health Region,NO,YES,131,75,7,8,8,14,0,,"physicians and dentists, moh hospitals by speciality, professional categories and health region, g"
