year_a,workbook_a,sheet_a,title_a,year_b,workbook_b,sheet_b,title_b,topic,similarity_score,manual_validation_required
2022,2022-Chapter-I-Health-Indicators.xlsx,1,Crude Birth Rate /1000 Population,2021,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,Crude Birth Rate /1000 Population,Population,1.0,YES
2022,2022-Chapter-I-Health-Indicators.xlsx,1,Crude Birth Rate /1000 Population,2023,Statistical-Yearbook-2023.xlsx,1,Crude Birth Rate /1000 Population,Population,1.0,YES
2022,2022-Chapter-I-Health-Indicators.xlsx,1,Crude Birth Rate /1000 Population,2024,Statistical-Yearbook-2024.xlsx,1-1,Crude Birth Rate /1000 Population,Population,1.0,YES
2022,2022-Chapter-I-Health-Indicators.xlsx,2,Crude Death Rate /1000 Population,2021,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,2,Crude Death Rate /1000 Population,Population,1.0,YES
2022,2022-Chapter-I-Health-Indicators.xlsx,2,Crude Death Rate /1000 Population,2023,Statistical-Yearbook-2023.xlsx,6,Crude Death Rate /1000 Population,Population,1.0,YES
2022,2022-Chapter-I-Health-Indicators.xlsx,4,"Health Resources Indicators (per 10,000 population) in the Last Five Years",2021,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,4,"Health Resources Indicators (per 10,000 population) in the Last Five Years",Population | Capacity | Workforce,1.0,YES
2022,2022-Chapter-I-Health-Indicators.xlsx,4,"Health Resources Indicators (per 10,000 population) in the Last Five Years",2023,Statistical-Yearbook-2023.xlsx,9,"Health Resources Indicators (per 10,000 population) in the Last Five Years",Population | Capacity | Workforce,1.0,YES
2022,2022-Chapter-I-Health-Indicators.xlsx,5,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022 م,2021,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,6,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2021 م,Capacity | Workforce,1.0,YES
2022,2022-Chapter-I-Health-Indicators.xlsx,5,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2022 م,2023,Statistical-Yearbook-2023.xlsx,10,مؤشرات مختارة عن الموارد المتاحة بمستشفيات وزارة الصحة حسب المنطقة الصحية لعام 2023 م,Capacity | Workforce,1.0,YES
2022,2022-Chapter-I-Health-Indicators.xlsx,7,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years",2021,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,8,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years",Population,1.0,YES
