source_value,occurrence_count,candidate_level,canonical_value,mapping_status,mapping_note
Riyadh,321,Unknown / National / Other,,REVIEW,
الرياض,293,Unknown / National / Other,,REVIEW,
المدينة المنورة,275,Unknown / National / Other,,REVIEW,
Eastern,252,Unknown / National / Other,,REVIEW,
القصيم,246,Unknown / National / Other,,REVIEW,
الشرقية,241,Unknown / National / Other,,REVIEW,
عسير,238,Unknown / National / Other,,REVIEW,
تبوك,237,Unknown / National / Other,,REVIEW,
حائل,228,Unknown / National / Other,,REVIEW,
الحدود الشمالية,165,Unknown / National / Other,,REVIEW,
جازان,152,Unknown / National / Other,,REVIEW,
Jazan,147,Unknown / National / Other,,REVIEW,
Makkah,96,Unknown / National / Other,,REVIEW,
Northern Borders,72,Unknown / National / Other,,REVIEW,
Najran,67,Unknown / National / Other,,REVIEW,
نجران,66,Unknown / National / Other,,REVIEW,
Madinah,59,Unknown / National / Other,,REVIEW,
مكة المكرمة,56,Unknown / National / Other,,REVIEW,
الباحة,39,Unknown / National / Other,,REVIEW,
الجوف,34,Unknown / National / Other,,REVIEW,
Qassim,31,Unknown / National / Other,,REVIEW,
Hail,31,Unknown / National / Other,,REVIEW,
تجمع الرياض الصحي الأول,30,Health Cluster,,REVIEW,
تجمع الرياض الصحي الثاني,30,Health Cluster,,REVIEW,
تجمع الرياض الصحي الثالث,30,Health Cluster,,REVIEW,
تجمع جدة الصحي الأول,30,Health Cluster,,REVIEW,
تجمع جدة الصحي الثاني,30,Health Cluster,,REVIEW,
تجمع الطائف الصحي,30,Health Cluster,,REVIEW,
تجمع المدينة المنورة الصحي,30,Health Cluster,,REVIEW,
تجمع القصيم الصحي,30,Health Cluster,,REVIEW,
Madinah Health Cluster,30,Health Cluster,,REVIEW,
Qassim Health Cluster,30,Health Cluster,,REVIEW,
Riyadh First Health Cluster,29,Health Cluster,,REVIEW,
Riyadh Second Health Cluster,29,Health Cluster,,REVIEW,
Riyadh Third Health Cluster,29,Health Cluster,,REVIEW,
Jeddah First Health Cluster,29,Health Cluster,,REVIEW,
Jeddah Second Health Cluster,29,Health Cluster,,REVIEW,
Taif Health Cluster,29,Health Cluster,,REVIEW,
Asir,29,Unknown / National / Other,,REVIEW,
تجمع الشرقية الصحي,28,Health Cluster,,REVIEW,
Eastern Health Cluster,27,Health Cluster,,REVIEW,
تجمع الأحساء الصحي,26,Health Cluster,,REVIEW,
Al Ahsa Health Cluster,25,Health Cluster,,REVIEW,
Al-Bahah,23,Unknown / National / Other,,REVIEW,
Al-Jouf,23,Unknown / National / Other,,REVIEW,
التجمعات الصحية,22,Health Cluster,,REVIEW,
تجمع مكة المكرمة الصحي,19,Health Cluster,,REVIEW,
تجمع حفر الباطن الصحي,19,Health Cluster,,REVIEW,
Health Clusters,19,Health Cluster,,REVIEW,
تجمع عسير الصحي,18,Health Cluster,,REVIEW,
Makkah Health Cluster,18,Health Cluster,,REVIEW,
Hafr Al Batin Health Cluster,18,Health Cluster,,REVIEW,
تجمع تبوك الصحي,17,Health Cluster,,REVIEW,
Asir Health Cluster,17,Health Cluster,,REVIEW,
Tabuk,17,Unknown / National / Other,,REVIEW,
Tabuk Health Cluster,16,Health Cluster,,REVIEW,
تجمع حائل الصحي,14,Health Cluster,,REVIEW,
إجمالي التجمعات الصحية بالرياض,14,Health Cluster,,REVIEW,
Total Health Clusters - Riyadh,14,Health Cluster,,REVIEW,
إجمالي التجمعات الصحية بجدة,14,Health Cluster,,REVIEW,
Total Health Clusters - Jeddah,14,Health Cluster,,REVIEW,
Hail Health Cluster,13,Health Cluster,,REVIEW,
Total Makkah Health Cluster,12,Health Cluster,,REVIEW,
Makkah Health Cluster - Qunfudah,11,Health Cluster,,REVIEW,
إجمالي تجمع مكة المكرمة الصحي,11,Health Cluster,,REVIEW,
