comparison_group_id,source_year,workbook_name,sheet_name,chapter,topic,likely_table_title,geography_level_candidate,max_rows,max_columns,probable_header_row,probable_data_start_row,region_candidate_count,detected_years,group_geography_levels,comparison_status,manual_validation_required
FY-001,2021,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,1,Health Indicators,Population,Crude Birth Rate /1000 Population,Unknown / National / Other,22,8,6,7,0,2021,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-001,2022,2022-Chapter-I-Health-Indicators.xlsx,1,Health Indicators,Population,Crude Birth Rate /1000 Population,Unknown / National / Other,22,14,6,7,0,2022,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-001,2023,Statistical-Yearbook-2023.xlsx,1,Unknown / Other,Population,Crude Birth Rate /1000 Population,Unknown / National / Other,22,14,6,7,0,"2022, 2023",Unknown / National / Other,CANDIDATE_ONLY,YES
FY-001,2024,Statistical-Yearbook-2024.xlsx,1-1,Health Indicators,Population,Crude Birth Rate /1000 Population,Unknown / National / Other,18,10,6,7,0,2024,Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2021,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,3,Health Indicators,Other,Table 1-3,Unknown / National / Other,28,8,7,8,0,2021,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2021,Statistical-Yearbook-2021-Chapter-I-Health-Indicators.xlsx,7,Health Indicators,Other,Table 1-7,Unknown / National / Other,13,8,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,58,Health Activities,Other,Table 4-58,Unknown / National / Other,16,14,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,59,Health Activities,Other,Table 4-59,Unknown / National / Other,15,4,14,,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2022,2022-Chapter-I-Health-Indicators.xlsx,3,Health Indicators,Other,Table 1-3,Unknown / National / Other,23,11,7,8,0,"2021, 2022",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2022,2022-Chapter-I-Health-Indicators.xlsx,6,Health Indicators,Other,Table 1-6,Unknown / National / Other,13,8,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
