comparison_group_id,topic,representative_title,years_available,region_year_count,cluster_year_count,geography_levels_seen,review_priority_score,recommended_review_class,confirmed_same_business_definition,confirmed_same_grain,confirmed_same_geography,keep_for_project,notes
FY-029,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2021م.,2021 | 2022 | 2023 | 2024,4,0,Health Region,15,A,,,,,
FY-018,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2021G.",2021 | 2022 | 2023 | 2024,4,0,Health Region,15,A,,,,,
FY-030,Activity,Table 4-48,2021 | 2022 | 2023 | 2024,2,0,Health Region | Unknown / National / Other,10,B,,,,,
FY-017,Capacity,"Armed Forces Hospital in the military factories, Al-Kharj",2021 | 2022 | 2023 | 2024,3,0,Health Region | Unknown / National / Other,10,B,,,,,
FY-016,Capacity,Prince Mohammad Bin Abdulaziz Hospital,2021 | 2022 | 2023 | 2024,3,0,Health Region | Unknown / National / Other,10,B,,,,,
FY-028,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-021,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2021G.",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-032,Activity,العيادات الخارجية – متوسط وقت الانتظار للموعد (بالايام),2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-036,Activity,غرفة العمليات – متوسط وقت انتظار الجراحة (بالأيام),2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-033,Activity,قسم الطوارئ – نسبة المرضى الذين انهيت اجراءاتهم خلال 4 ساعات,2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-026,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2021G.",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-034,Capacity,متوسط مدة الإقامة للمرضى داخل المستشفى (بالأيام),2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-012,Capacity | Activity,"Hospital Beds in Other Governmental Sector by Speciality, 2021G.",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-023,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-022,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2021G",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-031,Capacity | Activity,King Faisal Specialist Hospital,2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-025,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-024,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2021G",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-009,Capacity | Workforce,"Health Manpower in MOH Hospitals by Nationality, in the last Five Years",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-010,Capacity | Workforce,"Health Manpower in Primary Health Care Centers, MOH, in the last Five Years",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-011,Capacity | Workforce,"Physicians and Dentists in MOH Primary Health Care Centers by Speciality and Nationality, in the last Five Years",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-001,Population,Crude Birth Rate /1000 Population,2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-003,Population,"Incidence Rate of Some Immunization Targeted Diseases (per 100,000 population) in the Last Five Years",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-020,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-005,Population | Capacity,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-014,Workforce,Health Manpower at Private Sector in the last Five Years,2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-006,Workforce,Health Manpower in KSA Health Sectors in the Last Five Years,2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-008,Workforce,Health Manpower in MOH by Nationality in the Last Five Years,2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-013,Workforce,"Health Manpower in the Other Governmental Sector by Nationality, in the last Five Years",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-015,Workforce,Table 4-40,2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
FY-007,Workforce | Activity,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2021G",2021 | 2022 | 2023 | 2024,0,0,Unknown / National / Other,6,C,,,,,
