source_value,occurrence_count,original_candidate_level,proposed_geography_type,canonical_health_region,canonical_health_cluster,parent_health_region,valid_from_year,valid_to_year,mapping_status,mapping_note
Madinah Health Cluster,30,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Qassim Health Cluster,30,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع الرياض الصحي الأول,30,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع الرياض الصحي الثالث,30,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع الرياض الصحي الثاني,30,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع الطائف الصحي,30,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع القصيم الصحي,30,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع المدينة المنورة الصحي,30,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع جدة الصحي الأول,30,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع جدة الصحي الثاني,30,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Jeddah First Health Cluster,29,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Jeddah Second Health Cluster,29,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Riyadh First Health Cluster,29,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Riyadh Second Health Cluster,29,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Riyadh Third Health Cluster,29,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Taif Health Cluster,29,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع الشرقية الصحي,28,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Eastern Health Cluster,27,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع الأحساء الصحي,26,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Al Ahsa Health Cluster,25,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمعات الصحية,22,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Health Clusters,19,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع حفر الباطن الصحي,19,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع مكة المكرمة الصحي,19,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
