workbook_name,sheet_name,row_number,values_json
2022-Chapter-II-Health-Resources.xlsx,2.43,1,"[""مستشفيات وزارة الصحة المعتمدة من المركز السعودي لاعتماد المنشآت الصحية."", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,2,"[""CBAHI Accredited MoH Hospitals."", """", """", """", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,3,"[""جدول  2-43"", """", """", ""Table 2-43"", """", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,4,"[""المنطقة الصحية"", ""المستشفى"", """", ""Hospital Name"", ""تاريخ الاعتماد\nDate of Accriditation"", ""Health Region"", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,5,"[""الرياض"", ""1"", ""مستشفى الأمير محمد بن عبدالعزيز"", ""Prince Mohammad Bin Abdulaziz Hospital"", ""2022"", ""Riyadh"", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,6,"["""", ""2"", ""مستشفى الملك خالد بالخرج"", ""King Khalid Hospital Al-Kharj"", ""2022"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,7,"["""", ""3"", ""مستشفى الولادة والأطفال بالخرج"", ""Maternity Hospital - Al-Kharj"", ""2022"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,8,"["""", ""4"", ""مستشفى الإيمان العام"", ""Al Iman General Hospital"", ""2022"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,9,"["""", ""5"", ""مستشفى الدوادمي العام"", ""Dawadmi General Hospital"", ""2022"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,10,"["""", ""6"", ""مستشفى الزلفي العام"", ""Al Zulfi General Hospital"", ""2021"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,11,"["""", ""7"", ""مستشفى القويعية العام"", ""Quwaiya General Hospital"", ""2022"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,12,"["""", ""8"", ""مدينة الملك سعود الطبية"", ""King Saud Medical City"", ""2020"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,13,"["""", ""9"", ""مدينة الملك فهد الطبية"", ""King Fahad Medical City"", ""2020"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,14,"["""", ""10"", ""مستشفى الملك سلمان"", ""King Salman Hospital"", ""2020"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,15,"["""", ""11"", ""مستشفى الإمام عبدالرحمن الفيصل"", ""Imam Abdulrahman Alfaisal Hospital"", ""2020"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,16,"["""", ""12"", ""مستشفى شقراء العام"", ""Shagra General Hospital"", ""2021"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,17,"["""", ""13"", ""مستشفى الملك خالد التخصصي للعيون"", ""King Khaled Eye Specialist Hospital"", ""2021"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,18,"["""", ""14"", ""مستشفى اليمامة"", ""Al-Yamama Hospital"", ""2021"", """", """", """", """", """", """", """", """", """"]"
2022-Chapter-II-Health-Resources.xlsx,2.43,19,"[""العاصمة المقدسة"", ""15"", ""مستشفى الملك عبد العزيز"", ""King Abdulaziz  Hospital"", ""2022"", ""The Holy Capital"", """", """", """", """", """", """", """", """"]"
