workbook_name,sheet_index,sheet_name,max_row,max_column,sheet_state
2022-Chapter-I-Health-Indicators.xlsx,1,فهرس الباب الأول,26,38,visible
2022-Chapter-I-Health-Indicators.xlsx,2,1,22,14,visible
2022-Chapter-I-Health-Indicators.xlsx,3,2,10,8,visible
2022-Chapter-I-Health-Indicators.xlsx,4,3,23,11,visible
2022-Chapter-I-Health-Indicators.xlsx,5,4,18,14,visible
2022-Chapter-I-Health-Indicators.xlsx,6,5,32,8,visible
2022-Chapter-I-Health-Indicators.xlsx,7,6,13,8,visible
2022-Chapter-I-Health-Indicators.xlsx,8,7,14,12,visible
2022-Chapter-I-Health-Indicators.xlsx,9,8,22,11,visible
2022-Chapter-I-Health-Indicators.xlsx,10,9,22,12,visible
2022-Chapter-I-Health-Indicators.xlsx,11,10,50,21,visible
2022-Chapter-I-Health-Indicators.xlsx,12,11,33,16,visible
2022-Chapter-I-Health-Indicators.xlsx,13,12,35,17,visible
2022-Chapter-II-Health-Resources.xlsx,1,فهرس الباب الثاني,92,38,visible
2022-Chapter-II-Health-Resources.xlsx,2,2-1,25,6,visible
2022-Chapter-II-Health-Resources.xlsx,3,2-2,17,29,visible
2022-Chapter-II-Health-Resources.xlsx,4,2-3,29,11,visible
2022-Chapter-II-Health-Resources.xlsx,5,2-4,38,22,visible
2022-Chapter-II-Health-Resources.xlsx,6,2-5,53,21,visible
2022-Chapter-II-Health-Resources.xlsx,7,2-6,43,19,visible
2022-Chapter-II-Health-Resources.xlsx,8,2-7,176,21,visible
2022-Chapter-II-Health-Resources.xlsx,9,2-8 ,29,19,visible
2022-Chapter-II-Health-Resources.xlsx,10,2-9,29,10,visible
2022-Chapter-II-Health-Resources.xlsx,11,2-10,32,14,visible
2022-Chapter-II-Health-Resources.xlsx,12,2-11,30,15,visible
2022-Chapter-II-Health-Resources.xlsx,13,2-12,32,20,visible
2022-Chapter-II-Health-Resources.xlsx,14,2-13,29,19,visible
2022-Chapter-II-Health-Resources.xlsx,15,2.14,77,39,visible
2022-Chapter-II-Health-Resources.xlsx,16,2.15,29,19,visible
2022-Chapter-II-Health-Resources.xlsx,17,2.16,29,19,visible
2022-Chapter-II-Health-Resources.xlsx,18,2.17,29,19,visible
2022-Chapter-II-Health-Resources.xlsx,19,2.18,176,21,visible
